Sequence,Order,Lect,Category,ipa
ua,1,Sadu,Nucleus,u
ui,1,Sadu,Nucleus,u
uə˞,1,Sadu,Nucleus,u
uɛ,1,Sadu,Nucleus,u
ũ,1,Sadu,Nucleus,ũ
v,1,Sadu,Onset,v
w,1,Sadu,Onset,w
x,1,Sadu,Onset,x
z,1,Sadu,Nucleus,z
z,1,Sadu,Onset,z
ŋ,1,Sadu,Onset,ŋ
ɔ,1,Sadu,Nucleus,ɔ
ɕ,1,Sadu,Onset,ɕ
ə,1,Sadu,Nucleus,ə
ə˞,1,Sadu,Nucleus,ə˞
ɛ,1,Sadu,Nucleus,ɛ
ɡ,1,Sadu,Onset,ɡ
ɣ,1,Sadu,Onset,ɣ
ɯ,1,Sadu,Nucleus,ɯ
ɲ,1,Sadu,Onset,ɲ
ʑ,1,Sadu,Onset,ʑ
ʔ,1,Sadu,Coda,ʔ
ʔ,1,Sadu,Onset,ʔ
#,1,Sakha,Onset,#
#,1,Sakha,Coda,#
b,1,Sakha,Onset,b
b,1,Sakha,Coda,b
d,1,Sakha,Onset,d
d,1,Sakha,Coda,d
d͡ʑ,1,Sakha,Onset,d͡ʑ
d͡ʑ,1,Sakha,Coda,d͡ʑ
k,1,Sakha,Onset,k
k,1,Sakha,Coda,k
l,1,Sakha,Onset,l
l,1,Sakha,Coda,l
m,1,Sakha,Onset,m
m,1,Sakha,Coda,m
n,1,Sakha,Onset,n
n,1,Sakha,Coda,n
p,1,Sakha,Onset,p
p,1,Sakha,Coda,p
r,1,Sakha,Onset,r
r,1,Sakha,Coda,r
s,1,Sakha,Onset,s
s,1,Sakha,Coda,s
t,1,Sakha,Onset,t
t,1,Sakha,Coda,t
t͡ʃ,1,Sakha,Onset,t͡ʃ
t͡ʃ,1,Sakha,Coda,t͡ʃ
ŋ,1,Sakha,Onset,ŋ
ŋ,1,Sakha,Coda,ŋ
ɡ,1,Sakha,Onset,ɡ
ɡ,1,Sakha,Coda,ɡ
ɲ,1,Sakha,Onset,ɲ
ɲ,1,Sakha,Coda,ɲ
a,1,Sakha,Nucleus,a
aː,1,Sakha,Nucleus,aː
i,1,Sakha,Nucleus,i
iɛ,1,Sakha,Nucleus,i
iː,1,Sakha,Nucleus,iː
lk,1,Sakha,Coda,l
lt,1,Sakha,Coda,l
mp,1,Sakha,Coda,m
o,1,Sakha,Nucleus,o
oː,1,Sakha,Nucleus,oː
rk,1,Sakha,Coda,r
rt,1,Sakha,Coda,r
u,1,Sakha,Nucleus,u
uo,1,Sakha,Nucleus,u
uː,1,Sakha,Nucleus,uː
y,1,Sakha,Nucleus,y
yɵ,1,Sakha,Nucleus,y
yː,1,Sakha,Nucleus,yː
ŋk,1,Sakha,Coda,ŋ
ɛ,1,Sakha,Nucleus,ɛ
ɛː,1,Sakha,Nucleus,ɛː
ɨ,1,Sakha,Nucleus,ɨ
ɨa,1,Sakha,Nucleus,ɨ
ɨː,1,Sakha,Nucleus,ɨː
ɵ,1,Sakha,Nucleus,ɵ
ɵː,1,Sakha,Nucleus,ɵː
#,1,Sangkong,Coda,#
a,1,Sangkong,Nucleus,a
ai,1,Sangkong,Nucleus,a
au,1,Sangkong,Nucleus,a
a̰,1,Sangkong,Nucleus,a̰
e,1,Sangkong,Nucleus,e
ḛ,1,Sangkong,Nucleus,ḛ
h,1,Sangkong,Onset,h
i,1,Sangkong,Nucleus,i
ḭ,1,Sangkong,Nucleus,ḭ
k,1,Sangkong,Coda,k
k,1,Sangkong,Onset,k
kʰ,1,Sangkong,Onset,kʰ
l,1,Sangkong,Onset,l
m,1,Sangkong,Onset,m
m,1,Sangkong,Coda,m
mb,1,Sangkong,Onset,m
mbj,1,Sangkong,Onset,m
mj,1,Sangkong,Onset,m
n,1,Sangkong,Coda,n
n,1,Sangkong,Onset,n
nd,1,Sangkong,Onset,n
o,1,Sangkong,Nucleus,o
o̰,1,Sangkong,Nucleus,o̰
p,1,Sangkong,Onset,p
p,1,Sangkong,Coda,p
pj,1,Sangkong,Onset,p
pʰ,1,Sangkong,Onset,pʰ
pʰj,1,Sangkong,Onset,pʰ
q,1,Sangkong,Onset,q
qʰ,1,Sangkong,Onset,qʰ
s,1,Sangkong,Onset,s
t,1,Sangkong,Coda,t
t,1,Sangkong,Onset,t
tʰ,1,Sangkong,Onset,tʰ
t͡s,1,Sangkong,Onset,t͡s
t͡sʰ,1,Sangkong,Onset,t͡sʰ
t͡ɕ,1,Sangkong,Onset,t͡ɕ
t͡ɕʰ,1,Sangkong,Onset,t͡ɕʰ
u,1,Sangkong,Nucleus,u
ṵ,1,Sangkong,Nucleus,ṵ
w,1,Sangkong,Onset,w
x,1,Sangkong,Onset,x
z,1,Sangkong,Nucleus,z
z̰,1,Sangkong,Nucleus,z̰
ø,1,Sangkong,Nucleus,ø
ø̰,1,Sangkong,Nucleus,ø̰
ŋ,1,Sangkong,Coda,ŋ
ŋ,1,Sangkong,Onset,ŋ
ŋɡ,1,Sangkong,Onset,ŋ
ɕ,1,Sangkong,Onset,ɕ
ɤ,1,Sangkong,Nucleus,ɤ
ɤ̰,1,Sangkong,Nucleus,ɤ̰
ɯ,1,Sangkong,Nucleus,ɯ
ɯ̰,1,Sangkong,Nucleus,ɯ̰
ɲ,1,Sangkong,Onset,ɲ
ʑ,1,Sangkong,Onset,ʑ
ʔ,1,Sangkong,Onset,ʔ
#,1,Sani,Onset,#
#,1,Sani,Coda,#
a,1,Sani,Nucleus,a
b,1,Sani,Onset,b
d,1,Sani,Onset,d
d͡z,1,Sani,Onset,d͡z
d͡ɮ,1,Sani,Onset,d͡ɮ
d͡ʑ,1,Sani,Onset,d͡ʑ
e,1,Sani,Nucleus,e
f,1,Sani,Onset,f
h,1,Sani,Onset,h
i,1,Sani,Nucleus,i
j,1,Sani,Onset,j
k,1,Sani,Onset,k
kʰ,1,Sani,Onset,kʰ
kʰʷ,1,Sani,Onset,kʰʷ
kʷ,1,Sani,Onset,kʷ
l,1,Sani,Onset,l
m,1,Sani,Onset,m
m,1,Sani,Nucleus,m
n,1,Sani,Onset,n
n,1,Sani,Nucleus,n
o,1,Sani,Nucleus,o
p,1,Sani,Onset,p
pʰ,1,Sani,Onset,pʰ
q,1,Sani,Onset,q
qʰ,1,Sani,Onset,qʰ
s,1,Sani,Onset,s
t,1,Sani,Onset,t
tʰ,1,Sani,Onset,tʰ
t͡s,1,Sani,Onset,t͡s
t͡sʰ,1,Sani,Onset,t͡sʰ
t͡ɕ,1,Sani,Onset,t͡ɕ
t͡ɕʰ,1,Sani,Onset,t͡ɕʰ
t͡ɬ,1,Sani,Onset,t͡ɬ
u,1,Sani,Nucleus,u
v,1,Sani,Onset,v
v,1,Sani,Nucleus,v
x,1,Sani,Onset,x
xʷ,1,Sani,Onset,xʷ
z,1,Sani,Nucleus,z
z,1,Sani,Onset,z
zʷ,1,Sani,Nucleus,zʷ
æ,1,Sani,Nucleus,æ
ŋ,1,Sani,Onset,ŋ
ŋ,1,Sani,Nucleus,ŋ
ɑ,1,Sani,Nucleus,ɑ
ɕ,1,Sani,Onset,ɕ
ɖ͡ʐ,1,Sani,Onset,ɖ͡ʐ
ə˞,1,Sani,Nucleus,ə˞
ɡ,1,Sani,Onset,ɡ
ɣ,1,Sani,Onset,ɣ
ɤ,1,Sani,Nucleus,ɤ
ɪ,1,Sani,Nucleus,ɪ
ɬ,1,Sani,Onset,ɬ
ɯ,1,Sani,Nucleus,ɯ
ɲ,1,Sani,Onset,ɲ
ʂ,1,Sani,Onset,ʂ
ʈ͡ʂ,1,Sani,Onset,ʈ͡ʂ
ʈ͡ʂʰ,1,Sani,Onset,ʈ͡ʂʰ
ʐ,1,Sani,Nucleus,ʐ
ʐ,1,Sani,Onset,ʐ
χ,1,Sani,Onset,χ
#,1,Santali,Onset,#
#,1,Santali,Coda,#
a,1,Santali,Nucleus,a
ae,1,Santali,Nucleus,a
ao,1,Santali,Nucleus,a
ã,1,Santali,Nucleus,ã
b,1,Santali,Coda,b
b,1,Santali,Onset,b
b̤,1,Santali,Onset,b̤
c,1,Santali,Onset,c
c,1,Santali,Coda,c
cʰ,1,Santali,Onset,cʰ
cˀ,1,Santali,Coda,cˀ
cˀ,1,Santali,Onset,cˀ
d,1,Santali,Coda,d
d,1,Santali,Onset,d
d̤,1,Santali,Onset,d̤
e,1,Santali,Nucleus,e
ea,1,Santali,Nucleus,e
eo,1,Santali,Nucleus,e
ẽ,1,Santali,Nucleus,ẽ
h,1,Santali,Coda,h
h,1,Santali,Onset,h
i,1,Santali,Nucleus,i
io,1,Santali,Nucleus,i
iu,1,Santali,Nucleus,i
iə,1,Santali,Nucleus,i
ĩ,1,Santali,Nucleus,ĩ
j,1,Santali,Coda,j
j,1,Santali,Onset,j
k,1,Santali,Onset,k
k,1,Santali,Coda,k
kʰ,1,Santali,Onset,kʰ
kˀ,1,Santali,Coda,kˀ
kˀ,1,Santali,Onset,kˀ
l,1,Santali,Coda,l
l,1,Santali,Onset,l
m,1,Santali,Coda,m
m,1,Santali,Onset,m
mb,1,Santali,Coda,m
n,1,Santali,Coda,n
n,1,Santali,Onset,n
nd,1,Santali,Coda,n
o,1,Santali,Nucleus,o
oa,1,Santali,Nucleus,o
oe,1,Santali,Nucleus,o
õ,1,Santali,Nucleus,õ
p,1,Santali,Onset,p
p,1,Santali,Coda,p
pʰ,1,Santali,Onset,pʰ
pˀ,1,Santali,Coda,pˀ
pˀ,1,Santali,Onset,pˀ
r,1,Santali,Coda,r
r,1,Santali,Onset,r
s,1,Santali,Coda,s
s,1,Santali,Onset,s
t,1,Santali,Onset,t
t,1,Santali,Coda,t
tʰ,1,Santali,Onset,tʰ
tˀ,1,Santali,Coda,tˀ
tˀ,1,Santali,Onset,tˀ
u,1,Santali,Nucleus,u
ui,1,Santali,Nucleus,u
uə,1,Santali,Nucleus,u
ũ,1,Santali,Nucleus,ũ
w,1,Santali,Coda,w
w,1,Santali,Onset,w
ŋ,1,Santali,Coda,ŋ
ŋ,1,Santali,Onset,ŋ
ŋɡ,1,Santali,Coda,ŋ
ɔ,1,Santali,Nucleus,ɔ
ɔe,1,Santali,Nucleus,ɔ
ɔ̃,1,Santali,Nucleus,ɔ̃
ɖ,1,Santali,Coda,ɖ
ɖ,1,Santali,Onset,ɖ
ɖ̤,1,Santali,Onset,ɖ̤
ə,1,Santali,Nucleus,ə
əi,1,Santali,Nucleus,ə
əu,1,Santali,Nucleus,ə
ə̃,1,Santali,Nucleus,ə̃
ɛ,1,Santali,Nucleus,ɛ
ɛo,1,Santali,Nucleus,ɛ
ɛ̃,1,Santali,Nucleus,ɛ̃
ɟ,1,Santali,Coda,ɟ
ɟ,1,Santali,Onset,ɟ
ɟ̤,1,Santali,Onset,ɟ̤
ɡ,1,Santali,Coda,ɡ
ɡ,1,Santali,Onset,ɡ
ɡ̤,1,Santali,Onset,ɡ̤
ɲ,1,Santali,Coda,ɲ
ɲ,1,Santali,Onset,ɲ
ɲɟ,1,Santali,Coda,ɲ
ɽ,1,Santali,Coda,ɽ
ɽ,1,Santali,Onset,ɽ
ɽ̥,1,Santali,Coda,ɽ̥
ɽ̥,1,Santali,Onset,ɽ̥
ʈ,1,Santali,Onset,ʈ
ʈ,1,Santali,Coda,ʈ
ʈʰ,1,Santali,Onset,ʈʰ
#,1,Saurashtra,Onset,#
#,1,Saurashtra,Coda,#
a,1,Saurashtra,Nucleus,a
b,1,Saurashtra,Coda,b
b,1,Saurashtra,Onset,b
bb,1,Saurashtra,Coda,b
bd,1,Saurashtra,Coda,b
b̤,1,Saurashtra,Coda,b̤
b̤,1,Saurashtra,Onset,b̤
c͡ç,1,Saurashtra,Onset,c͡ç
c͡ç,1,Saurashtra,Coda,c͡ç
c͡çc͡çʰ,1,Saurashtra,Coda,c͡ç
c͡çp,1,Saurashtra,Onset,c͡ç
c͡çʰ,1,Saurashtra,Onset,c͡çʰ
d,1,Saurashtra,Coda,d
d,1,Saurashtra,Onset,d
dw,1,Saurashtra,Coda,d
dɾ,1,Saurashtra,Coda,d
dɾ,1,Saurashtra,Onset,d
d̤,1,Saurashtra,Onset,d̤
e,1,Saurashtra,Nucleus,e
ẽ,1,Saurashtra,Nucleus,ẽ
h,1,Saurashtra,Coda,h
h,1,Saurashtra,Onset,h
hj,1,Saurashtra,Onset,h
hw,1,Saurashtra,Onset,h
i,1,Saurashtra,Nucleus,i
iː,1,Saurashtra,Nucleus,iː
ĩ,1,Saurashtra,Nucleus,ĩ
j,1,Saurashtra,Coda,j
j,1,Saurashtra,Onset,j
jk,1,Saurashtra,Coda,j
jl,1,Saurashtra,Coda,j
jn,1,Saurashtra,Coda,j
k,1,Saurashtra,Onset,k
k,1,Saurashtra,Coda,k
kj,1,Saurashtra,Coda,k
kk,1,Saurashtra,Coda,k
kl,1,Saurashtra,Onset,k
kn,1,Saurashtra,Onset,k
kt,1,Saurashtra,Coda,k
kɾ,1,Saurashtra,Coda,k
kɾ,1,Saurashtra,Onset,k
kʂ,1,Saurashtra,Onset,k
kʰ,1,Saurashtra,Coda,kʰ
kʰ,1,Saurashtra,Onset,kʰ
l,1,Saurashtra,Coda,l
l,1,Saurashtra,Onset,l
m,1,Saurashtra,Coda,m
m,1,Saurashtra,Onset,m
mb,1,Saurashtra,Coda,m
mh,1,Saurashtra,Onset,m
mj,1,Saurashtra,Onset,m
mm,1,Saurashtra,Coda,m
mp,1,Saurashtra,Coda,m
n,1,Saurashtra,Coda,n
n,1,Saurashtra,Onset,n
nc͡ç,1,Saurashtra,Coda,n
nd,1,Saurashtra,Coda,n
nh,1,Saurashtra,Onset,n
nj,1,Saurashtra,Onset,n
nn,1,Saurashtra,Coda,n
nt,1,Saurashtra,Coda,n
nɟ͡ʝ,1,Saurashtra,Coda,n
nɡ,1,Saurashtra,Coda,n
o,1,Saurashtra,Nucleus,o
p,1,Saurashtra,Onset,p
p,1,Saurashtra,Coda,p
pj,1,Saurashtra,Onset,p
pp,1,Saurashtra,Coda,p
pɾ,1,Saurashtra,Onset,p
pʰ,1,Saurashtra,Onset,pʰ
s,1,Saurashtra,Coda,s
s,1,Saurashtra,Onset,s
sn,1,Saurashtra,Onset,s
sw,1,Saurashtra,Onset,s
sɾ,1,Saurashtra,Onset,s
sʈ,1,Saurashtra,Coda,s
sʈ,1,Saurashtra,Onset,s
t,1,Saurashtra,Onset,t
t,1,Saurashtra,Coda,t
tj,1,Saurashtra,Onset,t
tm,1,Saurashtra,Onset,t
tn,1,Saurashtra,Coda,t
tɾ,1,Saurashtra,Coda,t
tɾ,1,Saurashtra,Onset,t
tʰ,1,Saurashtra,Onset,tʰ
u,1,Saurashtra,Nucleus,u
uː,1,Saurashtra,Nucleus,uː
ũ,1,Saurashtra,Nucleus,ũ
w,1,Saurashtra,Coda,w
w,1,Saurashtra,Onset,w
wh,1,Saurashtra,Onset,w
wj,1,Saurashtra,Onset,w
wɾ,1,Saurashtra,Coda,w
ç,1,Saurashtra,Onset,ç
çw,1,Saurashtra,Onset,ç
ŋ,1,Saurashtra,Coda,ŋ
ɖ,1,Saurashtra,Coda,ɖ
ɖ,1,Saurashtra,Onset,ɖ
ɖ̤,1,Saurashtra,Onset,ɖ̤
ə,1,Saurashtra,Nucleus,ə
ə̃,1,Saurashtra,Nucleus,ə̃
ɟ͡ʝ,1,Saurashtra,Coda,ɟ͡ʝ
ɟ͡ʝ,1,Saurashtra,Onset,ɟ͡ʝ
ɟ͡ʝj,1,Saurashtra,Coda,ɟ͡ʝ
ɟ͡ʝ̤,1,Saurashtra,Onset,ɟ͡ʝ̤
ɡ,1,Saurashtra,Coda,ɡ
ɡ,1,Saurashtra,Onset,ɡ
ɡ̤,1,Saurashtra,Onset,ɡ̤
ɭ,1,Saurashtra,Coda,ɭ
ɭ,1,Saurashtra,Onset,ɭ
ɭj,1,Saurashtra,Onset,ɭ
ɳ,1,Saurashtra,Coda,ɳ
ɳ,1,Saurashtra,Onset,ɳ
ɳɖ,1,Saurashtra,Coda,ɳ
ɳʈ,1,Saurashtra,Coda,ɳ
ɾ,1,Saurashtra,Coda,ɾ
ɾ,1,Saurashtra,Onset,ɾ
ɾb,1,Saurashtra,Coda,ɾ
ɾc͡ç,1,Saurashtra,Coda,ɾ
ɾh,1,Saurashtra,Onset,ɾ
ɾkʰ,1,Saurashtra,Coda,ɾ
ʂ,1,Saurashtra,Onset,ʂ
ʈ,1,Saurashtra,Onset,ʈ
ʈ,1,Saurashtra,Coda,ʈ
ʈʈ,1,Saurashtra,Coda,ʈ
ʈʰ,1,Saurashtra,Onset,ʈʰ
#,1,Sedang,Coda,#
a,1,Sedang,Nucleus,a
ã,1,Sedang,Nucleus,ã
ã̰,1,Sedang,Nucleus,ã̰
a̰,1,Sedang,Nucleus,a̰
b,1,Sedang,Onset,b
bl,1,Sedang,Onset,b
br,1,Sedang,Onset,b
c,1,Sedang,Coda,c
d,1,Sedang,Onset,d
dr,1,Sedang,Onset,d
d͡ʑ,1,Sedang,Onset,d͡ʑ
e,1,Sedang,Nucleus,e
ẽ,1,Sedang,Nucleus,ẽ
ḛ̃,1,Sedang,Nucleus,ḛ̃
ḛ,1,Sedang,Nucleus,ḛ
h,1,Sedang,Coda,h
h,1,Sedang,Onset,h
hj,1,Sedang,Onset,h
hl,1,Sedang,Onset,h
hm,1,Sedang,Onset,h
hn,1,Sedang,Onset,h
hr,1,Sedang,Onset,h
hv,1,Sedang,Onset,h
hŋ,1,Sedang,Onset,h
hɲ,1,Sedang,Onset,h
hʔr,1,Sedang,Onset,h
i,1,Sedang,Nucleus,i
i,1,Sedang,Coda,i
ia,1,Sedang,Nucleus,i
ih,1,Sedang,Coda,i
io,1,Sedang,Nucleus,i
iɛ,1,Sedang,Nucleus,i
iʔ,1,Sedang,Coda,i
ĩ,1,Sedang,Nucleus,ĩ
ĩã,1,Sedang,Nucleus,ĩ
ḭ̃,1,Sedang,Nucleus,ḭ̃
ḭ̃ã̰,1,Sedang,Nucleus,ḭ̃
ḭ,1,Sedang,Nucleus,ḭ
ḭa̰,1,Sedang,Nucleus,ḭ
ḭɛ̰,1,Sedang,Nucleus,ḭ
j,1,Sedang,Onset,j
k,1,Sedang,Onset,k
k,1,Sedang,Coda,k
kh,1,Sedang,Onset,k
kl,1,Sedang,Onset,k
kr,1,Sedang,Onset,k
l,1,Sedang,Coda,l
l,1,Sedang,Onset,l
m,1,Sedang,Coda,m
m,1,Sedang,Onset,m
ml,1,Sedang,Onset,m
mr,1,Sedang,Onset,m
n,1,Sedang,Coda,n
n,1,Sedang,Onset,n
o,1,Sedang,Nucleus,o
oɛ,1,Sedang,Nucleus,o
õ,1,Sedang,Nucleus,õ
õã,1,Sedang,Nucleus,õ
õ̰,1,Sedang,Nucleus,õ̰
o̰,1,Sedang,Nucleus,o̰
o̰ɛ̰,1,Sedang,Nucleus,o̰
p,1,Sedang,Onset,p
p,1,Sedang,Coda,p
ph,1,Sedang,Onset,p
pl,1,Sedang,Onset,p
pr,1,Sedang,Onset,p
r,1,Sedang,Coda,r
r,1,Sedang,Onset,r
s,1,Sedang,Onset,s
t,1,Sedang,Onset,t
t,1,Sedang,Coda,t
th,1,Sedang,Onset,t
tr,1,Sedang,Onset,t
t͡ɕ,1,Sedang,Onset,t͡ɕ
u,1,Sedang,Nucleus,u
u,1,Sedang,Coda,u
ua,1,Sedang,Nucleus,u
uo,1,Sedang,Nucleus,u
ũ,1,Sedang,Nucleus,ũ
ũã,1,Sedang,Nucleus,ũ
ṵ̃ã̰,1,Sedang,Nucleus,ṵ̃
ṵ,1,Sedang,Nucleus,ṵ
ṵa̰,1,Sedang,Nucleus,ṵ
ṵo̰,1,Sedang,Nucleus,ṵ
v,1,Sedang,Onset,v
ŋ,1,Sedang,Coda,ŋ
ŋ,1,Sedang,Onset,ŋ
ŋr,1,Sedang,Onset,ŋ
ɔ,1,Sedang,Nucleus,ɔ
ɔa,1,Sedang,Nucleus,ɔ
ɔ̃,1,Sedang,Nucleus,ɔ̃
ɔ̰,1,Sedang,Nucleus,ɔ̰
ə,1,Sedang,Nucleus,ə
ɛ,1,Sedang,Nucleus,ɛ
ɛa,1,Sedang,Nucleus,ɛ
ɛo,1,Sedang,Nucleus,ɛ
ɛ̃,1,Sedang,Nucleus,ɛ̃
ɛ̃ã,1,Sedang,Nucleus,ɛ̃
ɛ̰̃,1,Sedang,Nucleus,ɛ̰̃
ɛ̰̃ã̰,1,Sedang,Nucleus,ɛ̰̃
ɛ̰̃õ̰,1,Sedang,Nucleus,ɛ̰̃
ɛ̰,1,Sedang,Nucleus,ɛ̰
ɛ̰a̰,1,Sedang,Nucleus,ɛ̰
ɛ̰o̰,1,Sedang,Nucleus,ɛ̰
ɡ,1,Sedang,Onset,ɡ
ɡl,1,Sedang,Onset,ɡ
ɡr,1,Sedang,Onset,ɡ
ɲ,1,Sedang,Onset,ɲ
ʂ,1,Sedang,Onset,ʂ
ʔ,1,Sedang,Onset,ʔ
ʔ,1,Sedang,Coda,ʔ
ʔb,1,Sedang,Onset,ʔ
ʔbl,1,Sedang,Onset,ʔ
ʔbr,1,Sedang,Onset,ʔ
ʔd,1,Sedang,Onset,ʔ
ʔdr,1,Sedang,Onset,ʔ
ʔl,1,Sedang,Onset,ʔ
ʔm,1,Sedang,Onset,ʔ
ʔmr,1,Sedang,Onset,ʔ
ʔn,1,Sedang,Onset,ʔ
ʔr,1,Sedang,Onset,ʔ
ʔv,1,Sedang,Onset,ʔ
ʔŋ,1,Sedang,Onset,ʔ
ʔŋr,1,Sedang,Onset,ʔ
ʔɲ,1,Sedang,Onset,ʔ
ⁿb,1,Sedang,Onset,ⁿb
ⁿd,1,Sedang,Onset,ⁿd
ⁿd͡ʑ,1,Sedang,Onset,ⁿd͡ʑ
ⁿɡ,1,Sedang,Onset,ⁿɡ
#,1,Selkup,Onset,#
#,1,Selkup,Coda,#
e,1,Selkup,Nucleus,e
eː,1,Selkup,Nucleus,eː
i,1,Selkup,Nucleus,i
iː,1,Selkup,Nucleus,iː
j,1,Selkup,Coda,j
j,1,Selkup,Onset,j
k,1,Selkup,Onset,k
k,1,Selkup,Coda,k
l,1,Selkup,Onset,l
l,1,Selkup,Coda,l
m,1,Selkup,Coda,m
m,1,Selkup,Onset,m
n,1,Selkup,Coda,n
n,1,Selkup,Onset,n
o,1,Selkup,Nucleus,o
oː,1,Selkup,Nucleus,oː
p,1,Selkup,Onset,p
p,1,Selkup,Coda,p
q,1,Selkup,Onset,q
q,1,Selkup,Coda,q
r,1,Selkup,Onset,r
r,1,Selkup,Coda,r
s,1,Selkup,Onset,s
s,1,Selkup,Coda,s
t,1,Selkup,Onset,t
t,1,Selkup,Coda,t
t͡ʃʲ,1,Selkup,Onset,t͡ʃʲ
u,1,Selkup,Nucleus,u
uː,1,Selkup,Nucleus,uː
w,1,Selkup,Onset,w
y,1,Selkup,Nucleus,y
yː,1,Selkup,Nucleus,yː
æ,1,Selkup,Nucleus,æ
æː,1,Selkup,Nucleus,æː
ø,1,Selkup,Nucleus,ø
øː,1,Selkup,Nucleus,øː
ŋ,1,Selkup,Coda,ŋ
ɑ,1,Selkup,Nucleus,ɑ
ɑː,1,Selkup,Nucleus,ɑː
ɔː,1,Selkup,Nucleus,ɔː
ə,1,Selkup,Nucleus,ə
əː,1,Selkup,Nucleus,əː
ɛ,1,Selkup,Nucleus,ɛ
ɛː,1,Selkup,Nucleus,ɛː
ɨ,1,Selkup,Nucleus,ɨ
ɨː,1,Selkup,Nucleus,ɨː
ɪ,1,Selkup,Nucleus,ɪ
ɪː,1,Selkup,Nucleus,ɪː
ɲ,1,Selkup,Coda,ɲ
ɲ,1,Selkup,Onset,ɲ
ʃʲ,1,Selkup,Onset,ʃʲ
ʃʲ,1,Selkup,Coda,ʃʲ
ʎ,1,Selkup,Onset,ʎ
ʎ,1,Selkup,Coda,ʎ
#,1,Semelai,Coda,#
a,1,Semelai,Nucleus,a
ã,1,Semelai,Nucleus,ã
b,1,Semelai,Onset,b
c,1,Semelai,Onset,c
c,1,Semelai,Coda,c
cʰ,1,Semelai,Onset,cʰ
d,1,Semelai,Onset,d
e,1,Semelai,Nucleus,e
ẽ,1,Semelai,Nucleus,ẽ
h,1,Semelai,Coda,h
h,1,Semelai,Onset,h
i,1,Semelai,Nucleus,i
ĩ,1,Semelai,Nucleus,ĩ
j,1,Semelai,Coda,j
j,1,Semelai,Onset,j
jˀ,1,Semelai,Onset,jˀ
k,1,Semelai,Onset,k
k,1,Semelai,Coda,k
kʰ,1,Semelai,Onset,kʰ
l,1,Semelai,Coda,l
l,1,Semelai,Onset,l
lˀ,1,Semelai,Onset,lˀ
m,1,Semelai,Coda,m
m,1,Semelai,Onset,m
mˀ,1,Semelai,Onset,mˀ
m̥,1,Semelai,Onset,m̥
n,1,Semelai,Coda,n
n,1,Semelai,Onset,n
nˀ,1,Semelai,Onset,nˀ
n̥,1,Semelai,Onset,n̥
o,1,Semelai,Nucleus,o
õ,1,Semelai,Nucleus,õ
p,1,Semelai,Onset,p
p,1,Semelai,Coda,p
pʰ,1,Semelai,Onset,pʰ
r,1,Semelai,Coda,r
r,1,Semelai,Onset,r
rˀ,1,Semelai,Onset,rˀ
s,1,Semelai,Coda,s
s,1,Semelai,Onset,s
t,1,Semelai,Onset,t
t,1,Semelai,Coda,t
tʰ,1,Semelai,Onset,tʰ
u,1,Semelai,Nucleus,u
ũ,1,Semelai,Nucleus,ũ
w,1,Semelai,Coda,w
w,1,Semelai,Onset,w
ŋ,1,Semelai,Coda,ŋ
ŋ,1,Semelai,Onset,ŋ
ŋ̥,1,Semelai,Onset,ŋ̥
ɒ,1,Semelai,Nucleus,ɒ
ɒ̃,1,Semelai,Nucleus,ɒ̃
ɔ,1,Semelai,Nucleus,ɔ
ɔ̃,1,Semelai,Nucleus,ɔ̃
ə,1,Semelai,Nucleus,ə
ə̃,1,Semelai,Nucleus,ə̃
ɛ,1,Semelai,Nucleus,ɛ
ɛ̃,1,Semelai,Nucleus,ɛ̃
ɟ,1,Semelai,Onset,ɟ
ɡ,1,Semelai,Onset,ɡ
ɲ,1,Semelai,Coda,ɲ
ɲ,1,Semelai,Onset,ɲ
ɲˀ,1,Semelai,Onset,ɲˀ
ʉ,1,Semelai,Nucleus,ʉ
ʉ̃,1,Semelai,Nucleus,ʉ̃
ʔ,1,Semelai,Onset,ʔ
ʔ,1,Semelai,Coda,ʔ
#,1,Shixing,Onset,#
#,1,Shixing,Coda,#
b,1,Shixing,Onset,b
d,1,Shixing,Onset,d
d͡z,1,Shixing,Onset,d͡z
d͡ʑ,1,Shixing,Onset,d͡ʑ
d͡ʒ,1,Shixing,Onset,d͡ʒ
e,1,Shixing,Nucleus,e
ei,1,Shixing,Nucleus,e
ẽ,1,Shixing,Nucleus,ẽ
h,1,Shixing,Onset,h
i,1,Shixing,Nucleus,i
ie,1,Shixing,Nucleus,i
io,1,Shixing,Nucleus,i
iu,1,Shixing,Nucleus,i
iɑ,1,Shixing,Nucleus,i
iɑ̃,1,Shixing,Nucleus,i
iɔ,1,Shixing,Nucleus,i
iɔ̃,1,Shixing,Nucleus,i
iɛ,1,Shixing,Nucleus,i
iɛ̃,1,Shixing,Nucleus,i
iɯ,1,Shixing,Nucleus,i
ĩ,1,Shixing,Nucleus,ĩ
j,1,Shixing,Onset,j
k,1,Shixing,Onset,k
kʰ,1,Shixing,Onset,kʰ
l,1,Shixing,Onset,l
m,1,Shixing,Onset,m
mb,1,Shixing,Onset,m
mpʰ,1,Shixing,Onset,m
m̥,1,Shixing,Onset,m̥
n,1,Shixing,Onset,n
nd,1,Shixing,Onset,n
nd͡z,1,Shixing,Onset,n
nd͡ʑ,1,Shixing,Onset,n
nd͡ʒ,1,Shixing,Onset,n
ntʰ,1,Shixing,Onset,n
