Sequence,Order,Lect,Category,ipa
qj,1,Gurani,Onset,q
fj,1,Gurani,Onset,f
xj,1,Gurani,Onset,x
sj,1,Gurani,Onset,s
ʃj,1,Gurani,Onset,ʃ
zj,1,Gurani,Onset,z
ʒj,1,Gurani,Onset,ʒ
d͡ʒj,1,Gurani,Onset,d͡ʒ
t͡ʃj,1,Gurani,Onset,t͡ʃ
mj,1,Gurani,Onset,m
nj,1,Gurani,Onset,n
rj,1,Gurani,Onset,r
npʰ,1,Kazakh,Coda,n
ŋpʰ,1,Kazakh,Coda,ŋ
rpʰ,1,Kazakh,Coda,r
lpʰ,1,Kazakh,Coda,l
ntʰ,1,Kazakh,Coda,n
ŋtʰ,1,Kazakh,Coda,ŋ
rtʰ,1,Kazakh,Coda,r
ltʰ,1,Kazakh,Coda,l
nkʰ,1,Kazakh,Coda,n
ŋkʰ,1,Kazakh,Coda,ŋ
rkʰ,1,Kazakh,Coda,r
lkʰ,1,Kazakh,Coda,l
nqʰ,1,Kazakh,Coda,n
ŋqʰ,1,Kazakh,Coda,ŋ
rqʰ,1,Kazakh,Coda,r
lqʰ,1,Kazakh,Coda,l
ns,1,Kazakh,Coda,n
ŋs,1,Kazakh,Coda,ŋ
rs,1,Kazakh,Coda,r
ls,1,Kazakh,Coda,l
nʃ,1,Kazakh,Coda,n
ŋʃ,1,Kazakh,Coda,ŋ
rʃ,1,Kazakh,Coda,r
lʃ,1,Kazakh,Coda,l
br,1,Laven,Onset,b
dr,1,Laven,Onset,d
ɟr,1,Laven,Onset,ɟ
ɡr,1,Laven,Onset,ɡ
bl,1,Laven,Onset,b
dl,1,Laven,Onset,d
ɟl,1,Laven,Onset,ɟ
ɡl,1,Laven,Onset,ɡ
rp,1,Piemontese,Coda,r
lp,1,Piemontese,Coda,l
mp,1,Piemontese,Coda,m
np,1,Piemontese,Coda,n
rt,1,Piemontese,Coda,r
lt,1,Piemontese,Coda,l
mt,1,Piemontese,Coda,m
nt,1,Piemontese,Coda,n
rk,1,Piemontese,Coda,r
lk,1,Piemontese,Coda,l
mk,1,Piemontese,Coda,m
nk,1,Piemontese,Coda,n
rb,1,Piemontese,Coda,r
lb,1,Piemontese,Coda,l
mb,1,Piemontese,Coda,m
nb,1,Piemontese,Coda,n
rd,1,Piemontese,Coda,r
ld,1,Piemontese,Coda,l
md,1,Piemontese,Coda,m
nd,1,Piemontese,Coda,n
rɡ,1,Piemontese,Coda,r
lɡ,1,Piemontese,Coda,l
mɡ,1,Piemontese,Coda,m
nɡ,1,Piemontese,Coda,n
rv,1,Piemontese,Coda,r
lv,1,Piemontese,Coda,l
mv,1,Piemontese,Coda,m
nv,1,Piemontese,Coda,n
rs,1,Piemontese,Coda,r
ls,1,Piemontese,Coda,l
ms,1,Piemontese,Coda,m
ns,1,Piemontese,Coda,n
rz,1,Piemontese,Coda,r
lz,1,Piemontese,Coda,l
mz,1,Piemontese,Coda,m
nz,1,Piemontese,Coda,n
kl,1,Thulung,Onset,k
kʰl,1,Thulung,Onset,kʰ
ɡl,1,Thulung,Onset,ɡ
ŋl,1,Thulung,Onset,ŋ
t͡sl,1,Thulung,Onset,t͡s
t͡sʰl,1,Thulung,Onset,t͡sʰ
d͡zl,1,Thulung,Onset,d͡z
d͡z̤l,1,Thulung,Onset,d͡z̤
tl,1,Thulung,Onset,t
tʰl,1,Thulung,Onset,tʰ
dl,1,Thulung,Onset,d
d̤l,1,Thulung,Onset,d̤
nl,1,Thulung,Onset,n
ɖl,1,Thulung,Onset,ɖ
pl,1,Thulung,Onset,p
pʰl,1,Thulung,Onset,pʰ
bl,1,Thulung,Onset,b
b̤l,1,Thulung,Onset,b̤
ml,1,Thulung,Onset,m
rl,1,Thulung,Onset,r
ll,1,Thulung,Onset,l
jl,1,Thulung,Onset,j
wl,1,Thulung,Onset,w
sl,1,Thulung,Onset,s
hl,1,Thulung,Onset,h
ʔl,1,Thulung,Onset,ʔ
kr,1,Thulung,Onset,k
kʰr,1,Thulung,Onset,kʰ
ɡr,1,Thulung,Onset,ɡ
ŋr,1,Thulung,Onset,ŋ
t͡sr,1,Thulung,Onset,t͡s
t͡sʰr,1,Thulung,Onset,t͡sʰ
d͡zr,1,Thulung,Onset,d͡z
d͡z̤r,1,Thulung,Onset,d͡z̤
tr,1,Thulung,Onset,t
tʰr,1,Thulung,Onset,tʰ
dr,1,Thulung,Onset,d
d̤r,1,Thulung,Onset,d̤
nr,1,Thulung,Onset,n
ɖr,1,Thulung,Onset,ɖ
pr,1,Thulung,Onset,p
pʰr,1,Thulung,Onset,pʰ
br,1,Thulung,Onset,b
b̤r,1,Thulung,Onset,b̤
mr,1,Thulung,Onset,m
rr,1,Thulung,Onset,r
lr,1,Thulung,Onset,l
jr,1,Thulung,Onset,j
wr,1,Thulung,Onset,w
sr,1,Thulung,Onset,s
hr,1,Thulung,Onset,h
ʔr,1,Thulung,Onset,ʔ
kw,1,Thulung,Onset,k
kʰw,1,Thulung,Onset,kʰ
ɡw,1,Thulung,Onset,ɡ
ŋw,1,Thulung,Onset,ŋ
t͡sw,1,Thulung,Onset,t͡s
t͡sʰw,1,Thulung,Onset,t͡sʰ
d͡zw,1,Thulung,Onset,d͡z
d͡z̤w,1,Thulung,Onset,d͡z̤
tw,1,Thulung,Onset,t
tʰw,1,Thulung,Onset,tʰ
dw,1,Thulung,Onset,d
d̤w,1,Thulung,Onset,d̤
nw,1,Thulung,Onset,n
ɖw,1,Thulung,Onset,ɖ
pw,1,Thulung,Onset,p
pʰw,1,Thulung,Onset,pʰ
bw,1,Thulung,Onset,b
b̤w,1,Thulung,Onset,b̤
mw,1,Thulung,Onset,m
rw,1,Thulung,Onset,r
lw,1,Thulung,Onset,l
jw,1,Thulung,Onset,j
ww,1,Thulung,Onset,w
sw,1,Thulung,Onset,s
hw,1,Thulung,Onset,h
ʔw,1,Thulung,Onset,ʔ
kj,1,Thulung,Onset,k
kʰj,1,Thulung,Onset,kʰ
ɡj,1,Thulung,Onset,ɡ
ŋj,1,Thulung,Onset,ŋ
t͡sj,1,Thulung,Onset,t͡s
t͡sʰj,1,Thulung,Onset,t͡sʰ
d͡zj,1,Thulung,Onset,d͡z
d͡z̤j,1,Thulung,Onset,d͡z̤
tj,1,Thulung,Onset,t
tʰj,1,Thulung,Onset,tʰ
dj,1,Thulung,Onset,d
d̤j,1,Thulung,Onset,d̤
nj,1,Thulung,Onset,n
ɖj,1,Thulung,Onset,ɖ
pj,1,Thulung,Onset,p
pʰj,1,Thulung,Onset,pʰ
bj,1,Thulung,Onset,b
b̤j,1,Thulung,Onset,b̤
mj,1,Thulung,Onset,m
rj,1,Thulung,Onset,r
lj,1,Thulung,Onset,l
jj,1,Thulung,Onset,j
wj,1,Thulung,Onset,w
sj,1,Thulung,Onset,s
hj,1,Thulung,Onset,h
ʔj,1,Thulung,Onset,ʔ
pr,1,Western Puroik,Onset,p
br,1,Western Puroik,Onset,b
tr,1,Western Puroik,Onset,t
dr,1,Western Puroik,Onset,d
kr,1,Western Puroik,Onset,k
ɡr,1,Western Puroik,Onset,ɡ
pl,1,Western Puroik,Onset,p
bl,1,Western Puroik,Onset,b
tl,1,Western Puroik,Onset,t
dl,1,Western Puroik,Onset,d
kl,1,Western Puroik,Onset,k
ɡl,1,Western Puroik,Onset,ɡ
mp,2,Bezhta,Coda,p
np,2,Bezhta,Coda,p
wp,2,Bezhta,Coda,p
jp,2,Bezhta,Coda,p
lp,2,Bezhta,Coda,p
rp,2,Bezhta,Coda,p
mb,2,Bezhta,Coda,b
nb,2,Bezhta,Coda,b
wb,2,Bezhta,Coda,b
jb,2,Bezhta,Coda,b
lb,2,Bezhta,Coda,b
rb,2,Bezhta,Coda,b
mpʼ,2,Bezhta,Coda,pʼ
npʼ,2,Bezhta,Coda,pʼ
wpʼ,2,Bezhta,Coda,pʼ
jpʼ,2,Bezhta,Coda,pʼ
lpʼ,2,Bezhta,Coda,pʼ
rpʼ,2,Bezhta,Coda,pʼ
mt,2,Bezhta,Coda,t
nt,2,Bezhta,Coda,t
wt,2,Bezhta,Coda,t
jt,2,Bezhta,Coda,t
lt,2,Bezhta,Coda,t
rt,2,Bezhta,Coda,t
md,2,Bezhta,Coda,d
nd,2,Bezhta,Coda,d
wd,2,Bezhta,Coda,d
jd,2,Bezhta,Coda,d
ld,2,Bezhta,Coda,d
rd,2,Bezhta,Coda,d
mtʼ,2,Bezhta,Coda,tʼ
ntʼ,2,Bezhta,Coda,tʼ
wtʼ,2,Bezhta,Coda,tʼ
jtʼ,2,Bezhta,Coda,tʼ
ltʼ,2,Bezhta,Coda,tʼ
rtʼ,2,Bezhta,Coda,tʼ
mt͡s,2,Bezhta,Coda,t͡s
nt͡s,2,Bezhta,Coda,t͡s
wt͡s,2,Bezhta,Coda,t͡s
jt͡s,2,Bezhta,Coda,t͡s
lt͡s,2,Bezhta,Coda,t͡s
rt͡s,2,Bezhta,Coda,t͡s
mt͡sʼ,2,Bezhta,Coda,t͡sʼ
nt͡sʼ,2,Bezhta,Coda,t͡sʼ
wt͡sʼ,2,Bezhta,Coda,t͡sʼ
jt͡sʼ,2,Bezhta,Coda,t͡sʼ
lt͡sʼ,2,Bezhta,Coda,t͡sʼ
rt͡sʼ,2,Bezhta,Coda,t͡sʼ
ms,2,Bezhta,Coda,s
ns,2,Bezhta,Coda,s
ws,2,Bezhta,Coda,s
js,2,Bezhta,Coda,s
ls,2,Bezhta,Coda,s
rs,2,Bezhta,Coda,s
mz,2,Bezhta,Coda,z
nz,2,Bezhta,Coda,z
wz,2,Bezhta,Coda,z
jz,2,Bezhta,Coda,z
lz,2,Bezhta,Coda,z
rz,2,Bezhta,Coda,z
mc͡ç,2,Bezhta,Coda,c͡ç
nc͡ç,2,Bezhta,Coda,c͡ç
wc͡ç,2,Bezhta,Coda,c͡ç
jc͡ç,2,Bezhta,Coda,c͡ç
lc͡ç,2,Bezhta,Coda,c͡ç
rc͡ç,2,Bezhta,Coda,c͡ç
mc͡çʼ,2,Bezhta,Coda,c͡çʼ
nc͡çʼ,2,Bezhta,Coda,c͡çʼ
wc͡çʼ,2,Bezhta,Coda,c͡çʼ
jc͡çʼ,2,Bezhta,Coda,c͡çʼ
lc͡çʼ,2,Bezhta,Coda,c͡çʼ
rc͡çʼ,2,Bezhta,Coda,c͡çʼ
mç,2,Bezhta,Coda,ç
nç,2,Bezhta,Coda,ç
wç,2,Bezhta,Coda,ç
jç,2,Bezhta,Coda,ç
lç,2,Bezhta,Coda,ç
rç,2,Bezhta,Coda,ç
mʝ,2,Bezhta,Coda,ʝ
nʝ,2,Bezhta,Coda,ʝ
wʝ,2,Bezhta,Coda,ʝ
jʝ,2,Bezhta,Coda,ʝ
lʝ,2,Bezhta,Coda,ʝ
rʝ,2,Bezhta,Coda,ʝ
mt͡ɬ,2,Bezhta,Coda,t͡ɬ
nt͡ɬ,2,Bezhta,Coda,t͡ɬ
wt͡ɬ,2,Bezhta,Coda,t͡ɬ
jt͡ɬ,2,Bezhta,Coda,t͡ɬ
lt͡ɬ,2,Bezhta,Coda,t͡ɬ
rt͡ɬ,2,Bezhta,Coda,t͡ɬ
mt͡ɬʼ,2,Bezhta,Coda,t͡ɬʼ
nt͡ɬʼ,2,Bezhta,Coda,t͡ɬʼ
wt͡ɬʼ,2,Bezhta,Coda,t͡ɬʼ
